Race Number,Forename,Total,Route Location 1,Route Location 2
1,BHF Rider,08:02:16,03:18:52,02:35:48
2,BHF Rider,06:27:33,03:12:40,02:39:13
3,BHF Rider,06:49:19,03:08:23,03:04:08
4,BHF Rider,06:24:25,02:57:54,02:39:13
6,BHF Rider,05:40:22,02:06:48,02:32:17
8,BHF Rider,06:22:57,03:08:14,02:34:29
9,BHF Rider,06:24:18,02:57:47,02:40:59
10,BHF Rider,07:08:05,03:35:51,02:49:23
16,BHF Rider,04:19:25,02:10:23,01:38:46
17,BHF Rider,04:20:10,02:10:08,01:40:28
18,BHF Rider,04:23:08,02:10:24,01:38:38
19,BHF Rider,05:20:53,02:52:13,01:54:30
20,BHF Rider,06:34:32,03:17:40,02:38:17
21,BHF Rider,05:40:08,02:29:50,02:32:15
22,BHF Rider,04:22:00,02:09:42,01:39:46
24,BHF Rider,05:19:20,02:42:11,02:01:30
25,BHF Rider,05:20:41,02:29:58,02:08:49
26,BHF Rider,03:45:06,01:49:21,01:28:34
27,BHF Rider,04:30:22,02:10:42,01:46:03
28,BHF Rider,06:25:38,03:11:13,02:38:25
29,BHF Rider,05:22:41,02:29:00,02:20:29
30,BHF Rider,04:20:15,02:10:22,01:38:26
32,BHF Rider,05:20:43,02:29:59,02:16:11
33,BHF Rider,07:00:20,03:04:42,02:59:45
35,BHF Rider,06:59:44,03:02:07,03:01:49
36,BHF Rider,06:59:52,03:02:22,03:01:01
37,BHF Rider,06:14:19,02:54:56,02:30:16
38,BHF Rider,04:27:19,02:02:19,01:53:49
39,BHF Rider,08:03:27,03:21:33,02:56:00
40,BHF Rider,08:03:37,03:18:43,02:43:24
41,BHF Rider,08:03:33,03:21:52,03:06:52
42,BHF Rider,08:02:01,03:18:37,02:51:48
43,BHF Rider,08:02:00,03:18:33,02:36:19
44,BHF Rider,08:08:03,03:24:21,03:54:53
45,BHF Rider,08:07:53,03:23:10,03:13:49
46,BHF Rider,08:02:19,03:23:15,03:15:45
47,BHF Rider,08:02:12,03:24:16,03:01:39
48,BHF Rider,08:02:10,03:20:38,03:05:09
49,BHF Rider,08:02:14,03:18:45,03:10:21
54,BHF Rider,08:02:13,03:18:49,02:35:54
55,BHF Rider,08:02:10,03:18:49,02:35:45
56,BHF Rider,06:24:21,02:57:51,02:39:42
57,BHF Rider,04:21:41,02:09:55,01:38:20
58,BHF Rider,07:05:41,03:41:08,02:44:34
100,BHF Rider,06:22:54,03:08:10,02:33:58
1002,BHF Rider,03:36:00,01:45:05,01:24:06
1004,BHF Rider,03:09:42,01:39:29,01:09:07
1006,BHF Rider,04:09:05,01:57:42,01:45:04
1007,BHF Rider,04:09:26,02:00:53,01:41:46
1008,BHF Rider,04:55:06,02:25:36,01:54:07
1010,BHF Rider,03:19:50,01:36:37,01:20:24
1011,BHF Rider,03:51:31,01:49:04,01:37:28
1012,BHF Rider,02:57:27,01:32:25,01:03:39
1014,BHF Rider,02:46:15,01:21:49,01:04:43
1016,BHF Rider,03:11:53,01:34:23,01:15:26
1017,BHF Rider,03:37:42,,03:15:36
1018,BHF Rider,04:13:09,02:08:51,01:38:15
1019,BHF Rider,02:41:36,01:21:57,01:02:46
1021,BHF Rider,03:54:03,02:02:04,01:26:15
1022,BHF Rider,04:22:26,01:50:11,02:01:18
1024,BHF Rider,06:05:55,02:32:36,02:50:24
1025,BHF Rider,03:58:40,01:59:24,01:36:32
